City,Region,Country,Latitude,Longitude,TimeZone,LocalTimeEpoch,LocalTime,LastUpdatedEpoch,LastUpdated,Temperature_C,Temperature_F,IsDay,ConditionText,ConditionIcon,WindMPH,WindKPH,WindDegree,WindDir,PressureMB,PressureIn,PrecipMM,PrecipIn,Humidity,Cloud,FeelsLike_C,FeelsLike_F,VisibilityKM,VisibilityMiles,UV,GustMPH,GustKPH
Ahus,Skane Lan,Sweden,55.92,14.28,Europe/Stockholm,1723294440,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.5,68.9,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,20.8,33.5,269,W,1013.0,29.9,0.09,0.0,58,73,20.5,68.9,10.0,6.0,5.0,27.1,43.6
Akersberga,Stockholms Lan,Sweden,59.48,18.3,Europe/Stockholm,1723294439,2024-08-10 14:53,1723293900,2024-08-10 14:45,19.7,67.5,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,17.0,27.4,261,W,1002.0,29.6,0.07,0.0,56,51,19.7,67.5,10.0,6.0,4.0,21.5,34.5
Alingsas,Vastra Gotaland,Sweden,57.93,12.52,Europe/Stockholm,1723294440,2024-08-10 14:54,1723293900,2024-08-10 14:45,17.2,62.9,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,15.4,24.8,253,WSW,1009.0,29.78,0.52,0.02,77,54,17.2,62.9,10.0,6.0,4.0,19.2,30.9
Almhult,Vastra Gotaland,Sweden,57.28,12.85,Europe/Stockholm,1723294439,2024-08-10 14:53,1723293900,2024-08-10 14:45,18.2,64.7,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,15.7,25.2,254,WSW,1009.0,29.81,0.42,0.02,65,73,18.2,64.7,9.0,5.0,4.0,18.5,29.8
Altay,Xinjiang,China,47.87,88.12,Asia/Shanghai,1723294441,2024-08-10 20:54,1723293900,2024-08-10 20:45,28.5,83.3,1,Clear,//cdn.weatherapi.com/weather/64x64/day/113.png,13.6,22.0,262,W,1003.0,29.61,0.0,0.0,27,5,27.2,80.9,10.0,6.0,1.0,15.7,25.3
Amalner,Maharashtra,India,21.05,75.07,Asia/Kolkata,1723294440,2024-08-10 18:24,1723293900,2024-08-10 18:15,28.1,82.6,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,16.6,26.6,286,WNW,1005.0,29.68,0.08,0.0,73,75,31.5,88.7,10.0,6.0,6.0,27.0,43.5
Arboga,Vastmanlands Lan,Sweden,59.4,15.83,Europe/Stockholm,1723294440,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.1,68.1,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,19.7,31.7,244,WSW,1002.0,29.6,0.01,0.0,56,82,20.1,68.1,10.0,6.0,5.0,22.6,36.4
Arlov,Skane Lan,Sweden,55.63,13.07,Europe/Stockholm,1723294440,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.7,69.2,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,20.4,32.8,267,W,1014.0,29.93,0.08,0.0,56,60,20.7,69.2,10.0,6.0,5.0,25.6,41.1
Arvika,Varmlands Lan,Sweden,59.67,12.57,Europe/Stockholm,1723294440,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.9,67.8,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,15.4,24.8,250,WSW,1002.0,29.59,0.04,0.0,50,80,19.9,67.8,10.0,6.0,4.0,17.8,28.6
Astorp,Syddanmark,Denmark,55.4,9.52,Europe/Copenhagen,1723294441,2024-08-10 14:54,1723293900,2024-08-10 14:45,20.1,68.3,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,21.7,34.9,257,WSW,1015.0,29.97,0.0,0.0,55,22,20.1,68.3,10.0,6.0,6.0,25.0,40.2
Avesta,Dalarnas Lan,Sweden,60.15,16.2,Europe/Stockholm,1723294441,2024-08-10 14:54,1723293900,2024-08-10 14:45,19.3,66.7,1,Thundery outbreaks in nearby,//cdn.weatherapi.com/weather/64x64/day/200.png,10.3,16.6,256,WSW,1000.0,29.53,0.0,0.0,51,46,19.3,66.7,9.0,5.0,4.0,13.9,22.4
