city_id;city_acsii;country
1;Ahus;Sweden
2;Akersberga;Sweden
3;Alingsas;Sweden
4;Almhult;Sweden
5;Alta;Sweden
6;Amal;Sweden
7;Arboga;Sweden
8;Arlov;Sweden
9;Arvika;Sweden
10;Astorp;Sweden
11;Avesta;Sweden
12;Balsta;Sweden
13;Billdal;Sweden
14;Bjarred;Sweden
15;Boden;Sweden
16;Bollnas;Sweden
17;Boo;Sweden
18;Boras;Sweden
19;Borlange;Sweden
20;Brevik;Sweden
21;Bunkeflostrand;Sweden
22;Ekero;Sweden
23;Eksjo;Sweden
24;Enkoping;Sweden
25;Eskilstuna;Sweden
26;Eslov;Sweden
27;Fagersta;Sweden
28;Falkenberg;Sweden
29;Falkoping;Sweden
30;Falun;Sweden
31;Filipstad;Sweden
32;Finspang;Sweden
33;Gagnef;Sweden
34;Gavle;Sweden
35;Gislaved;Sweden
36;Gothenburg;Sweden
37;Gustavsberg;Sweden
38;Habo;Sweden
39;Hagfors;Sweden
40;Hallstahammar;Sweden
41;Halmstad;Sweden
42;Harnosand;Sweden
43;Hassleholm;Sweden
44;Helsingborg;Sweden
45;Hoganas;Sweden
46;Hollviken;Sweden
47;Hudiksvall;Sweden
48;Huskvarna;Sweden
49;Jonkoping;Sweden
50;Jordbro;Sweden
51;Kalmar;Sweden
52;Karlshamn;Sweden
53;Karlskoga;Sweden
54;Karlskrona;Sweden
55;Karlstad;Sweden
56;Katrineholm;Sweden
57;Kavlinge;Sweden
58;Kinna;Sweden
59;Kiruna;Sweden
60;Klippansbruk;Sweden
61;Koping;Sweden
62;Kristianstad;Sweden
63;Kristinehamn;Sweden
64;Kumla;Sweden
65;Kungalv;Sweden
66;Kungsangen;Sweden
67;Kungsbacka;Sweden
68;Landskrona;Sweden
69;Lerum;Sweden
70;Lidingo;Sweden
71;Lidkoping;Sweden
72;Lindesberg;Sweden
73;Lindome;Sweden
74;Linkoping;Sweden
75;Ljungby;Sweden
76;Lomma;Sweden
77;Ludvika;Sweden
78;Lulea;Sweden
79;Lycksele;Sweden
80;Malmo;Sweden
81;Mariestad;Sweden
82;Marsta;Sweden
83;Mjolby;Sweden
84;Molndal;Sweden
85;Molnlycke;Sweden
86;Mora;Sweden
87;Motala;Sweden
88;Nassjo;Sweden
89;Nodinge-Nol;Sweden
90;Norrkoping;Sweden
91;Norrtalje;Sweden
92;Nybro;Sweden
93;Nykoping;Sweden
94;Nynashamn;Sweden
95;Orebro;Sweden
96;Orkelljunga;Sweden
97;Ornskoldsvik;Sweden
98;Oskarshamn;Sweden
99;Ostersund;Sweden
100;Oxelosund;Sweden
101;Pitea;Sweden
102;Ronneby;Sweden
103;Saffle;Sweden
104;Sala;Sweden
105;Saltsjobaden;Sweden
106;Sandviken;Sweden
107;Sater;Sweden
108;Savja;Sweden
109;Sjobo;Sweden
110;Skara;Sweden
111;Skelleftea;Sweden
112;Skoghall;Sweden
113;Skovde;Sweden
114;Soderhamn;Sweden
115;Sodertalje;Sweden
116;Solleftea;Sweden
117;Staffanstorp;Sweden
118;Stenungsund;Sweden
119;Stockholm;Sweden
120;Strangnas;Sweden
121;Sundsvall;Sweden
122;Sunne;Sweden
123;Svedala;Sweden
124;Taby;Sweden
125;Tibro;Sweden
126;Timra;Sweden
127;Tranas;Sweden
128;Trelleborg;Sweden
129;Trollhattan;Sweden
130;Tullinge;Sweden
131;Tumba;Sweden
132;Uddevalla;Sweden
133;Ulricehamn;Sweden
134;Umea;Sweden
135;Upplands Vasby;Sweden
136;Uppsala;Sweden
137;Uppsala;Sweden
138;Vallentuna;Sweden
139;Vanersborg;Sweden
140;Varberg;Sweden
141;Vasteras;Sweden
142;Vasterhaninge;Sweden
143;Vastervik;Sweden
144;Vaxjo;Sweden
145;Vetlanda;Sweden
146;Vimmerby;Sweden
147;Visby;Sweden
148;Ystad;Sweden
